X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
3,0,1,0,0,5.91,6.47,6.22,5.97,7.28,2.64,4.0,7.58,5.8,6.43,7.02,8.66,7.69,4.13,4.29,4.4,46.0,0
1,0,1,0,1,4.53,7.19,4.53,5.54,5.33,5.11,6.76,6.76,5.49,5.16,5.45,5.55,4.79,5.07,4.65,5.68,43.9,1
3,0,1,0,1,7.18,9.92,7.41,5.39,9.55,5.18,4.51,9.18,7.56,5.88,7.3,7.61,6.19,4.66,4.35,6.15,44.6,1
2,0,1,0,1,3.17,6.34,4.18,3.97,2.53,6.09,6.55,2.6,1.81,6.58,4.24,4.0,4.63,4.84,5.18,3.08,48.3,0
2,0,1,0,0,5.34,5.01,6.54,6.12,6.0,5.17,6.82,6.52,6.16,5.4,5.3,6.77,6.9,5.48,7.18,4.89,35.6,1
2,1,0,0,1,5.88,2.99,6.65,7.36,5.67,4.94,6.41,6.46,6.93,4.96,5.85,4.96,6.41,6.91,7.94,5.98,57.8,0
3,0,0,0,1,5.34,4.85,7.03,6.01,6.98,6.37,5.77,7.64,6.7,5.56,5.05,4.96,5.81,5.4,4.82,6.53,44.7,1
2,1,1,0,1,4.34,6.69,3.54,4.01,5.8,3.54,4.83,5.27,5.39,4.77,3.85,3.37,4.38,1.88,4.45,3.31,19.2,0
2,0,0,0,0,5.05,4.9,5.29,5.92,9.68,5.02,5.44,10.0,5.08,4.11,5.26,7.87,4.93,5.71,5.23,6.18,50.4,0
3,0,1,0,0,7.31,5.07,4.49,4.93,4.5,6.57,5.62,3.34,6.22,5.75,5.38,4.38,4.45,5.44,5.05,6.0,49.4,0
1,1,1,0,1,5.18,5.9,5.83,5.07,5.48,5.49,6.53,5.0,5.96,4.41,6.16,5.46,7.07,6.27,7.47,4.8,42.3,0
1,1,0,0,1,5.55,8.78,5.17,5.63,4.79,6.65,6.85,5.62,6.04,8.3,6.84,5.82,4.51,4.84,4.61,5.19,37.7,0
2,0,1,0,0,4.45,7.6,4.82,3.58,8.16,9.21,6.19,7.34,2.85,8.52,4.78,10.0,3.54,6.04,5.84,6.35,52.7,1
2,0,0,1,1,4.89,4.83,4.57,6.09,4.37,9.97,8.29,5.79,4.92,8.31,5.96,5.83,5.25,7.18,7.56,4.32,49.3,0
3,1,1,1,0,6.98,1.88,7.5,6.66,7.81,6.05,4.71,5.68,6.6,8.44,5.86,5.32,7.83,5.66,3.61,2.87,45.4,0
2,1,0,1,1,8.84,6.07,7.41,6.55,5.16,6.82,7.32,4.52,6.38,7.22,7.16,5.81,7.34,7.36,7.41,5.83,65.9,1
2,1,1,1,1,6.89,2.52,7.01,7.01,6.58,5.96,6.91,5.09,9.66,5.71,6.9,4.1,6.38,7.89,7.78,7.44,74.6,0
2,1,1,1,1,6.26,6.33,7.42,7.51,4.06,5.81,7.76,6.11,4.48,8.29,8.65,6.93,7.1,6.56,7.97,5.29,55.5,1
2,0,0,0,0,5.32,7.24,5.29,5.61,3.82,10.0,6.92,5.22,6.32,7.89,6.29,4.8,5.87,6.39,8.43,5.97,63.1,0
2,1,0,0,1,5.24,4.47,5.86,4.7,4.25,6.81,5.76,3.64,5.5,6.25,3.8,4.11,4.77,5.89,7.52,3.77,57.6,1
2,0,1,0,0,9.06,2.96,9.21,7.18,5.84,7.24,7.32,6.13,9.35,4.21,8.56,6.88,9.01,9.18,7.96,8.78,90.7,1
2,1,0,1,1,6.9,6.82,8.5,7.5,4.78,4.88,7.89,5.06,5.86,7.25,8.27,5.7,6.59,7.51,7.36,6.07,67.9,1
