ID,SATISFACTION,USEFULNESS,EASE_OF_USE,TRUST,SERVICE_QUALITY,AGE,EXPERIENCE,GENDER_MALE,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,TR1,TR2,TR3,SQ1,SQ2,SQ3,SAT1,SAT2,SAT3
1,36.29,26.67,26.67,53.33,53.33,47,4.0,1,2,1,1,2,1,1,3,4,1,2,3,3,2,3,2
2,80.29,100.0,100.0,26.67,33.33,24,2.9,0,5,5,5,5,5,5,1,1,2,1,2,2,4,5,4
3,35.69,73.33,86.67,33.33,40.0,19,2.0,0,3,4,4,3,5,5,2,1,2,2,1,3,3,3,2
4,53.35,93.33,66.67,53.33,66.67,40,5.5,1,5,4,5,4,3,3,2,2,4,3,3,4,4,3,3
5,84.83,46.67,66.67,80.0,93.33,31,2.9,1,3,2,2,4,3,3,4,3,5,5,4,5,5,5,5
6,69.02,60.0,53.33,40.0,46.67,34,5.9,1,3,4,2,3,3,2,1,3,2,1,4,2,5,3,4
7,38.86,86.67,66.67,40.0,80.0,21,1.9,0,4,4,5,3,3,4,2,2,2,4,4,4,2,2,3
8,14.55,40.0,46.67,66.67,40.0,31,3.3,1,2,2,2,2,2,3,4,3,3,3,2,1,1,1,1
9,45.35,53.33,33.33,100.0,33.33,40,4.0,1,4,2,2,2,2,1,5,5,5,1,2,2,2,2,2
10,90.58,66.67,40.0,66.67,86.67,30,3.9,1,5,2,3,2,2,2,3,4,3,5,5,3,5,5,5
11,33.03,80.0,73.33,20.0,46.67,46,1.0,1,5,4,3,4,4,3,1,1,1,2,2,3,3,2,2
12,39.2,73.33,80.0,60.0,53.33,45,2.0,0,4,4,3,4,4,4,4,2,3,2,3,3,1,2,3
13,100.0,100.0,100.0,100.0,100.0,42,2.8,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,53.04,20.0,86.67,66.67,66.67,48,1.7,1,1,1,1,4,5,4,3,4,3,4,3,3,3,4,4
15,59.54,80.0,66.67,93.33,73.33,42,4.4,1,4,4,4,4,4,2,5,4,5,4,4,3,4,5,4
16,69.15,66.67,100.0,86.67,60.0,24,4.3,0,3,3,4,5,5,5,4,4,5,4,3,2,4,5,4
17,85.94,60.0,53.33,93.33,80.0,47,0.0,0,2,4,3,3,2,3,5,5,4,4,4,4,4,5,5
18,21.67,60.0,33.33,100.0,33.33,40,0.0,0,5,2,2,1,2,2,5,5,5,2,1,2,2,1,1
19,55.82,86.67,53.33,60.0,66.67,22,0.9,1,5,5,3,3,3,2,2,3,4,3,4,3,3,3,3
20,72.55,73.33,66.67,46.67,100.0,28,3.4,1,4,4,3,4,3,3,2,2,3,5,5,5,4,3,4
21,91.59,93.33,100.0,46.67,60.0,24,6.9,0,4,5,5,5,5,5,2,3,2,3,2,4,5,5,5
22,51.51,46.67,53.33,60.0,20.0,50,2.5,1,2,3,2,3,2,3,4,3,2,1,1,1,3,2,2
23,41.67,93.33,86.67,73.33,40.0,43,3.7,1,5,5,4,4,5,4,4,3,4,2,3,1,3,3,3
24,36.25,60.0,60.0,26.67,80.0,49,1.3,1,2,4,3,3,4,2,2,1,1,4,5,3,3,2,1
25,70.54,66.67,66.67,60.0,100.0,28,1.3,0,4,3,3,3,4,3,3,3,3,5,5,5,3,3,2
26,69.02,93.33,73.33,53.33,73.33,39,0.0,1,4,5,5,4,3,4,2,2,4,4,3,4,4,4,5
27,100.0,100.0,86.67,60.0,100.0,38,3.1,0,5,5,5,4,4,5,3,3,3,5,5,5,5,5,5
